rec_id,obc_timeStamp,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,lfm_netCounts,lfm_posCounts,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gfs_gasFlow,gfs_gasTemp,gfs_netGasVolume,jm3_netjoule,jm3_voltage,jm3_current,sup_VoltageIn,all_energy,message_id,volt_voltage,volt_difference,Lap,Time
691,1688797119.94,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4824.0,4858.0,29.0,0.7905,0.0,,,,555.836,13245.0,-22.0,16073.0,0.882342,504_202307_08_0617_35_0000642,,,2,6.311094444444445
692,1688797120.05,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4826.0,4860.0,29.0,0.7909,0.1966,,,,555.836,13244.0,-19.0,16077.0,0.882742,504_202307_08_0617_35_0000643,,,2,6.311124999964444
693,1688797120.15,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4826.0,4860.0,29.0,0.7909,0.0,,,,555.836,13244.0,-19.0,16106.0,0.882742,504_202307_08_0617_35_0000644,,,2,6.311152777813333
694,1688797120.24,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4827.0,4861.0,29.0,0.791,0.0983,,,,555.836,13246.0,-18.0,16106.0,0.882842,504_202307_08_0617_35_0000645,,,2,6.311177777777778
695,1688797120.35,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4827.0,4861.0,29.0,0.791,0.0,,,,555.836,13246.0,-18.0,16081.0,0.882842,504_202307_08_0617_35_0000646,,,2,6.3112083332977775
696,1688797120.45,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4828.0,4862.0,29.0,0.7912,0.0983,,,,555.836,13245.0,-22.0,16077.0,0.883042,504_202307_08_0617_35_0000647,,,2,6.311236111146666
697,1688797120.55,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4829.0,4863.0,29.0,0.7914,0.0983,,,,555.836,13245.0,-22.0,16077.0,0.883242,504_202307_08_0617_35_0000648,,,2,6.3112638888533334
698,1688797120.64,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4829.0,4863.0,29.0,0.7914,0.0,,,,555.836,13248.0,-18.0,16085.0,0.883242,504_202307_08_0617_35_0000649,,,2,6.311288888888889
699,1688797120.74,06.18.39,-8.895868217,116.30301745,1.0,0.8,16.7,4829.0,4863.0,29.0,0.7914,0.0,,,,555.836,13248.0,-18.0,16093.0,0.883242,504_202307_08_0617_35_0000650,,,2,6.3113166666666665
700,1688797120.84,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4830.0,4864.0,29.0,0.7915,0.0983,,,,555.836,13247.0,-23.0,16110.0,0.883342,504_202307_08_0617_35_0000651,,,2,6.311344444444444
701,1688797120.94,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4831.0,4865.0,29.0,0.7917,0.0983,,,,555.836,13247.0,-23.0,16077.0,0.883542,504_202307_08_0617_35_0000652,,,2,6.311372222222222
702,1688797121.05,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4831.0,4865.0,29.0,0.7917,0.0,,,,555.836,13246.0,-22.0,16085.0,0.883542,504_202307_08_0617_35_0000653,,,2,6.311402777742222
703,1688797121.15,06.18.40,-8.895856617,116.30306165,1.0,0.8,16.5,4831.0,4865.0,29.0,0.7917,0.0,,,,555.836,13246.0,-22.0,16068.0,0.883542,504_202307_08_0617_35_0000654,,,2,6.3114305555911105
